# ID , Name ,logM SMBB , low err logM , up err logM ,T SMBB , low err T, up err T, beta SMBB , low err beta , up err  
149,JINGLE149,7.887578,0.022895,0.021905,20.510948,0.844469,0.830221,2.240383,0.1527,0.161032
150,JINGLE150,8.67391,0.029072,0.030262,21.280035,1.025225,1.085243,2.131911,0.168435,0.17228
151,JINGLE151,8.633479,0.043489,0.042243,22.156483,1.338816,1.510117,1.581195,0.190017,0.201685
152,JINGLE152,8.251959,0.031929,0.03158,20.124883,0.950112,0.971902,1.93855,0.156234,0.159146
153,JINGLE153,7.799029,0.045407,0.045835,24.981477,1.732091,1.944446,1.334652,0.211806,0.214626
154,JINGLE154,8.885516,0.017433,0.019291,25.353808,0.823201,0.905942,1.872514,0.104674,0.098939
155,JINGLE155,8.322173,0.0451,0.047017,22.566776,1.37078,1.467368,1.686897,0.191056,0.211882
156,JINGLE156,8.437043,0.027616,0.030847,26.864087,1.410671,1.603209,1.67,0.148823,0.161995
157,JINGLE157,8.534211,0.048158,0.050034,19.776463,1.424775,1.607086,1.927782,0.239475,0.234413
158,JINGLE158,7.811232,0.091941,0.108703,26.084217,3.276764,3.491044,0.684793,0.270306,0.307953
159,JINGLE159,8.063801,0.021234,0.021535,23.620361,0.976109,1.066355,1.850235,0.144388,0.143042
160,JINGLE160,7.636274,0.035667,0.035014,27.416507,1.542357,1.634881,1.611295,0.151489,0.151018
161,JINGLE161,7.780975,0.167366,0.307623,21.891675,6.25547,4.784191,0.921205,0.465486,0.635394
162,JINGLE162,8.442247,0.072309,0.099927,21.144224,2.274338,1.820726,2.171946,0.190807,0.224044
163,JINGLE163,8.174573,0.045249,0.044066,20.639023,1.302222,1.3359,1.915798,0.187351,0.215199
164,JINGLE164,7.828948,0.04498,0.046717,24.054699,1.740612,1.655759,1.310263,0.206115,0.237552
165,JINGLE165,8.290655,0.021457,0.022366,25.227921,1.01849,1.180628,2.074976,0.145283,0.146619
166,JINGLE166,8.235553,0.03658,0.041035,23.967396,1.478407,1.583954,1.536316,0.197526,0.187441
167,JINGLE167,8.662539,0.029542,0.033276,22.951814,1.270986,1.323811,1.75464,0.173188,0.176789
168,JINGLE168,8.512518,0.049629,0.05195,24.078821,1.819677,2.060131,1.23624,0.224327,0.236533
169,JINGLE169,8.018221,0.042045,0.039222,24.690643,1.422382,1.528977,1.717288,0.194739,0.203123
170,JINGLE170,8.312621,0.045887,0.050611,23.724254,1.60185,1.7179,1.516859,0.20765,0.197343
171,JINGLE171,7.557016,0.134374,0.196058,24.381918,4.533752,3.530497,1.091993,0.411826,0.419589
172,JINGLE172,8.089037,0.056912,0.055697,21.763038,1.755983,1.764578,1.833293,0.255721,0.305209
173,JINGLE173,7.887019,0.03943,0.040562,23.784368,1.397563,1.420819,1.588121,0.160814,0.194583
174,JINGLE174,7.68226,0.115017,0.141546,24.297833,3.564841,3.667333,0.914601,0.415914,0.396416
175,JINGLE175,8.386807,0.042,0.041727,22.014258,1.302556,1.453117,1.777215,0.20053,0.197741
176,JINGLE176,8.255985,0.027939,0.025973,20.973941,0.888938,0.976853,1.887322,0.161847,0.173287
177,JINGLE177,8.148023,0.024539,0.025029,26.318072,1.1918,1.265119,2.168983,0.161172,0.152757
178,JINGLE178,8.232813,0.043185,0.041988,21.505418,1.32705,1.427059,1.973276,0.226434,0.241521
179,JINGLE179,7.908577,0.070745,0.070145,24.048395,1.902447,2.084531,1.567873,0.249423,0.261619
180,JINGLE180,8.109249,0.036327,0.040562,21.722081,1.224369,1.167464,1.682788,0.136698,0.160989
181,JINGLE181,8.258536,0.036515,0.038893,20.111993,1.191704,1.20147,1.874431,0.202185,0.213888
182,JINGLE182,8.369746,0.071922,0.076703,19.49631,1.753482,1.912653,1.900124,0.272484,0.289925
183,JINGLE183,7.772518,0.028492,0.031038,23.318081,1.317774,1.37233,1.797495,0.178617,0.187782
184,JINGLE184,8.458902,0.030541,0.032772,25.778007,1.501831,1.631432,1.355621,0.167825,0.18033
185,JINGLE185,7.906515,0.050887,0.052723,21.865027,1.684286,1.850641,1.665773,0.222445,0.245754
186,JINGLE186,8.640148,0.015841,0.016196,28.175866,0.769853,0.834662,1.937966,0.072334,0.067057
187,JINGLE187,8.763169,0.065741,0.073858,18.256229,1.536583,1.615477,2.03207,0.245179,0.273066
188,JINGLE188,8.281713,0.046205,0.045145,23.373262,1.539222,1.613563,1.976403,0.21742,0.221735
189,JINGLE189,8.472656,0.02658,0.026686,24.643475,1.208756,1.27743,1.931365,0.165846,0.167415
190,JINGLE190,8.70606,0.073943,0.091326,22.004614,2.533987,2.396183,1.965414,0.225135,0.261888
191,JINGLE191,8.210506,0.033574,0.034857,27.608222,1.820597,1.791908,1.693132,0.186661,0.191214
192,JINGLE192,8.905759,0.024744,0.026616,22.00417,0.838142,0.894876,2.171234,0.111768,0.118165
