dr7objid,dr8objid,objid
587722981742084144,1237648702966988820,1237648702966988820
587722981740970198,1237648702965874935,1237648702965874935
587722982830506274,1237648704055410972,1237648704055410972
587722982830506274,1237648704055410972,1237648704055410972
587722954382836038,1237648675607741233,1237648675607741233
587722954382836038,1237648675607741233,1237648675607741233
587722954382049888,1237648675606954669,1237648675606954669
587722954381525373,1237648675606430099,1237648675606430099
587722954380476793,1237648675605381513,1237648675605381513
587722954380411361,1237648675605316104,1237648675605316104
587722954380345511,1237648675605250186,1237648675605250186
587722954378969391,1237648675603874096,1237648675603874096
587722953844850900,1237648675069756058,1237648675069756058
587722982836076938,1237648704060981634,1237648704060981634
587722982836142432,1237648704061047095,1237648704061047095
587722953844589227,1237648675069493953,1237648675069493953
587722953844457830,1237648675069362530,1237648675069362530
587722982836339017,1237648704061243835,1237648704061243835
587722953843540446,1237648675068445173,1237648675068445173
587722953840984474,1237648675065889199,1237648675065889199
587722953840787640,1237648675065692335,1237648675065692335
587722953309356641,1237648674534261345,1237648674534261345
587722953309356641,1237648674534261345,1237648674534261345
587722953308111579,1237648674533016216,1237648674533016216
587722982830637180,1237648704055541889,1237648704055541889
587722982836535592,1237648704061440281,1237648704061440281
587722982830637180,1237648704055541889,1237648704055541889
587722982830637350,1237648704055542052,1237648704055542052
587722952769929872,1237648673994834517,1237648673994834517
587722982836600881,1237648704061505583,1237648704061505583
587722952233517507,1237648673458422157,1237648673458422157
587722982836600977,1237648704061505695,1237648704061505695
587722982836863440,1237648704061768134,1237648704061768134
587722982836863440,1237648704061768134,1237648704061768134
587722951698088610,1237648672922993303,1237648672922993303
587722951697563899,1237648672922468549,1237648672922468549
587722951697367780,1237648672922272666,1237648672922272666
587722951696515736,1237648672921419791,1237648672921419791
587722951696187911,1237648672921092653,1237648672921092653
587722951696187942,1237648672921092582,1237648672921092582
587722951696122293,1237648672921027005,1237648672921027005
587722983353352398,1237648704578257089,1237648704578257089
587722983353352576,1237648704578257299,1237648704578257299
587722983356760066,1237648704581664772,1237648704581664772
587722983356825710,1237648704581730401,1237648704581730401
587722983358464172,1237648704583368856,1237648704583368856
587722983363248238,1237648704588153023,1237648704588153023
587722983363248238,1237648704588153023,1237648704588153023
587722983363707039,1237648704588611715,1237648704588611715
587722983363707039,1237648704588611715,1237648704588611715
587722983363772443,1237648704588677420,1237648704588677420
587722983363772443,1237648704588677420,1237648704588677420
587722983366262983,1237648704591167704,1237648704591167704
587722983366262983,1237648704591167704,1237648704591167704
587722983366262870,1237648704591167729,1237648704591167729
587722983366262870,1237648704591167729,1237648704591167729
587722983366328355,1237648704591233054,1237648704591233054
587722983366328355,1237648704591233054,1237648704591233054
587722983367049501,1237648704591954188,1237648704591954188
587722983367115056,1237648704592019781,1237648704592019781
587722983367180475,1237648704592085158,1237648704592085158
587722983367639056,1237648704592543756,1237648704592543756
587722983367639056,1237648704592543756,1237648704592543756
587722983367704941,1237648704592609605,1237648704592609605
587722983368556772,1237648704593461456,1237648704593461456
587722982838829513,1237648704063734223,1237648704063734223
587722982839157087,1237648704064061764,1237648704064061764
587722984452129419,1237648705677034085,1237648705677034085
587722983376552338,1237648704601456979,1237648704601456979
587722982839484923,1237648704064389640,1237648704064389640
587722982839550004,1237648704064454699,1237648704064454699
587722982839550536,1237648704064455248,1237648704064455248
587722982839681450,1237648704064586399,1237648704064586399
587722982840205413,1237648704065110095,1237648704065110095
587722983882227818,1237648705107132511,1237648705107132511
587722983882489956,1237648705107394640,1237648705107394640
587722983882489993,1237648705107394688,1237648705107394688
587722983882489993,1237648705107394688,1237648705107394688
587722982840468032,1237648704065372740,1237648704065372740
587722983882752106,1237648705107656808,1237648705107656808
587722983883931718,1237648705108836414,1237648705108836414
587722983883931724,1237648705108836415,1237648705108836415
587722983884390492,1237648705109295187,1237648705109295187
587722983884390492,1237648705109295187,1237648705109295187
587722983884587125,1237648705109491815,1237648705109491815
587722983887274063,1237648705112178730,1237648705112178730
587722983887274063,1237648705112178730,1237648705112178730
587722983888715887,1237648705113620589,1237648705113620589
587722983889043651,1237648705113948373,1237648705113948373
587722982832537906,1237648704057442653,1237648704057442653
587722982840795609,1237648704065700320,1237648704065700320
587722982840926615,1237648704065831311,1237648704065831311
587722982832668823,1237648704057573747,1237648704057573747
587722982841188825,1237648704066093463,1237648704066093463
587722982841385533,1237648704066289929,1237648704066289929
587722982841582214,1237648704066486900,1237648704066486900
587722982841975237,1237648704066879947,1237648704066879947
587722982842368552,1237648704067273304,1237648704067273304
587722953304113349,1237648674529018079,1237648674529018079
587722982842433595,1237648704067338300,1237648704067338300
587722982842499291,1237648704067403987,1237648704067403987
587722982843155196,1237648704068059872,1237648704068059872
587722982843417222,1237648704068321919,1237648704068321919
587722983345488007,1237648704570392710,1237648704570392710
587722983345488007,1237648704570392710,1237648704570392710
587722983345488015,1237648704570392716,1237648704570392716
587722983345553620,1237648704570458392,1237648704570458392
587722983345815678,1237648704570720388,1237648704570720388
587722983345815678,1237648704570720388,1237648704570720388
587722983346209028,1237648704571113735,1237648704571113735
587722983347126384,1237648704572031090,1237648704572031090
587722983348437031,1237648704573341747,1237648704573341747
587722983348437031,1237648704573341747,1237648704573341747
587722983349747796,1237648704574652503,1237648704574652503
587722983349747796,1237648704574652503,1237648704574652503
587722983350075410,1237648704574980137,1237648704574980137
587722983350075410,1237648704574980137,1237648704574980137
587722983353942214,1237648704578846903,1237648704578846903
587722983354204326,1237648704579109022,1237648704579109022
587722983354204327,1237648704579109023,1237648704579109023
587722983354531977,1237648704579436672,1237648704579436672
587722983914668137,1237648705139572888,1237648705139572888
587722983915913829,1237648705140818470,1237648705140818470
587722983916110380,1237648705141015074,1237648705141015074
587722983917289658,1237648705142194361,1237648705142194361
587722983917289658,1237648705142194361,1237648705142194361
587722983917683677,1237648705142588382,1237648705142588382
587722983917683677,1237648705142588382,1237648705142588382
587722983917814692,1237648705142719433,1237648705142719433
587722983917814692,1237648705142719433,1237648705142719433
587722984425652330,1237648705650557007,1237648705650557007
587722984426963050,1237648705651867762,1237648705651867762
587722984427028609,1237648705651933308,1237648705651933308
