dr7objid,dr8objid,objid,expAB_r
587722982285967469,1237648703510872275,1237648703510872275,0.514501
587722982285967469,1237648703510872275,1237648703510872275,0.514501
587722982286360754,1237648703511265449,1237648703511265449,0.4606297
587722982286360754,1237648703511265449,1237648703511265449,0.4606297
587722982286426253,1237648703511330928,1237648703511330928,0.8305023
587722982286557443,1237648703511462133,1237648703511462133,0.9254696
587722982286557443,1237648703511462133,1237648703511462133,0.9254696
587722982286753946,1237648703511658641,1237648703511658641,0.5856377
587722982286753946,1237648703511658641,1237648703511658641,0.5856377
587722982288654610,1237648703513559257,1237648703513559257,0.262022
587722982288654610,1237648703513559257,1237648703513559257,0.262022
587722982289834059,1237648703514738879,1237648703514738879,0.6488416
587722982289834059,1237648703514738879,1237648703514738879,0.6488416
587722982291013790,1237648703515918471,1237648703515918471,0.7223732
587722982291407103,1237648703516311814,1237648703516311814,0.281602
587722982291407155,1237648703516311876,1237648703516311876,0.4155471
587722982291472493,1237648703516377183,1237648703516377183,0.4926295
587722982292717746,1237648703517622446,1237648703517622446,0.4823945
587722982292914500,1237648703517819272,1237648703517819272,0.6804402
587722982293438533,1237648703518343224,1237648703518343224,0.8681329
587722982293438533,1237648703518343224,1237648703518343224,0.8681329
587722982293635414,1237648703518540136,1237648703518540136,0.3099072
587722982293635414,1237648703518540136,1237648703518540136,0.3099072
587722982293766175,1237648703518670866,1237648703518670866,0.8270914
587722982293766175,1237648703518670866,1237648703518670866,0.8270914
587722982293766168,1237648703518671041,1237648703518671041,0.2230905
587722982293766168,1237648703518671041,1237648703518671041,0.2230905
587722982293766168,1237648703518671044,1237648703518671044,0.5898451
587722982293766168,1237648703518671044,1237648703518671044,0.5898451
587722982294749637,1237648703519654397,1237648703519654397,0.8671076
587722982295011581,1237648703519916301,1237648703519916301,0.3856828
587722982295470336,1237648703520374999,1237648703520374999,0.9891527
587722982295470366,1237648703520375035,1237648703520375035,0.3520983
587722982297633118,1237648703522537772,1237648703522537772,0.7239615
587722982297698635,1237648703522603269,1237648703522603269,0.516986
