,Unnamed: 0,Unnamed: 0.1,Z,Z err,H alpha flux,H alpha flux error,H beta flux,H beta flux error,BDec,BDec Err,objid,expAB_r,RA,DEC,StarMass,StarMass P16,StarMass P84,SFR,SFR P16,SFR P84,SFR err,SFR FLAG,SFR ENTROPY,GALAXY CLASS,12+LOG OH,12+LOG OH P16,12+LOG OH P84,12+LOG OH err,EB-V,NUMID,Inclination
6661,12885,102978,0.03285269,6.350068e-06,1236.0928,11.870536,292.57193,5.3319483,0.62581843,0.002117526415117337,587724240159309928,0.2112061,56.59636999999999,-7.2014685,9.730886,9.654779,9.833898,-0.013668987,-0.14231426,0.16605853,0.011872135,0.0,-3.6920938963857366,1,9.01111,9.003552,9.018668,9.01111,0.076346576,12885,77.80695785357553
6662,12886,102980,0.03363608,5.7302473e-06,246.58809,3.4783833,74.42295,2.7219296,0.5202652,0.005138102546287499,587727178473996433,0.6766504,56.615826,-7.056173299999998,9.222897,9.15372,9.319884,-0.37741178,-0.5995481,-0.095962666,-0.34775537,0.0,-4.430787841179517,1,8.662651,8.615402,8.706451,8.660927000000001,0.06455288,12886,47.417555252988834
6663,12887,102986,0.033099074,9.898492e-06,81.02905,2.034217,24.894665,1.9173596,0.51253444,0.01080869419818011,587724240696180931,0.7757805999999999,56.53439300000001,-6.709422,9.227449,9.160547,9.311417,-0.45411748,-0.7992185,-0.13068789,-0.46495318,0.0,-4.971080688533754,1,8.593633,8.498947,8.68361,8.591277999999999,0.056857295,12887,39.124141843192895
6664,12888,102993,0.028123094,1.6688335e-05,362.41174,6.333425,81.19494,3.7304494,0.64967334,0.00478283311556266,587727179010867282,0.7665257,56.612354,-6.531267,10.572319,10.482983,10.66939,0.22653075,-0.048060074,0.5122549,0.23209742,0.0,-4.6204995716946575,1,9.111444,9.059759,9.159777,9.109768,0.07101022,12888,39.9570833304667
6665,12889,102997,0.032070305,7.901065e-06,459.9867,5.3552,79.00348000000002,2.9945693,0.76509905,0.002957665296456473,587727180621545618,0.5645558,56.586716,-5.254021,9.763497,9.666728,9.869432000000002,-0.13034724,-0.27305034,0.026041748,-0.123504296,0.0,-3.6354025612219134,1,8.994382,8.981224000000003,9.048506,9.014865,0.071211115,12889,55.628549046149
6666,12890,103026,0.037530616,7.2551593000000014e-06,1493.781,13.505373,391.81665,6.3920207,0.58120406,0.0021246907219939428,587727179547738195,0.6092951,56.549,-6.2527895,10.080547,10.007007000000002,10.186675,0.39685237,0.19279304,0.6779489000000001,0.43537098,0.0,-4.333218121366733,1,9.047967,8.998972,9.056282,9.027627,0.07768215,12890,52.46144845975595
6667,12891,103069,0.032071567999999995,6.4859705e-06,495.25812,5.6944623,135.53046,3.4884634,0.5627946999999999,0.003350392670823485,587727180621873273,0.40945940000000003,57.27305,-5.221826,9.170219,9.1068945,9.290505,-0.20874247,-0.38629982,0.057643417,-0.1643282,0.0,-4.209769134675859,1,8.645442999999998,8.603401,8.668174,8.635788,0.10243218,12891,65.82912032039225
6668,12892,103073,0.031481754,6.7098463e-06,208.59277,3.1755235,64.35356,2.7900803,0.5107267,0.006156708122000292,587724242844123307,0.8870117000000001,57.291134,-5.0414486,9.142124,9.0875,9.209741,-0.22710517,-0.47056592,0.0634329,-0.2035665,0.0,-4.580150442776472,1,8.661480000000001,8.599039,8.695846000000001,8.647442,0.11120814,12892,27.499892440783537
6669,12893,103076,0.031351592000000005,7.823048e-06,837.2631,8.043372,243.76036,4.7848496,0.53589886,0.0027632323005864863,587727179548000341,0.6383175999999999,57.07065,-6.15197,9.424427,9.353777,9.524342,-0.31632632,-0.46595493,-0.10622637,-0.28609064,0.0,-3.9171394042211536,1,8.905913,8.852871,8.915849,8.884359,0.08181384,12893,50.33351873815022
6671,12896,103125,0.05624072,5.3273407e-06,1258.848,10.645619,386.15323,5.7713885000000005,0.51321363,0.0022877209862230304,587724241233510505,0.17193039999999998,57.43764,-6.179764,9.373836,9.314837,9.46798,0.16207157,0.05327886,0.36355412,0.20841649,0.0,-3.695540572082232,1,8.606889,8.590161,8.618774,8.604467,0.10441311,12896,80.09992440583905
6672,12897,103228,0.05804979,5.5173073e-06,471.98712,6.002729,133.02037,4.0770407,0.550012,0.0040615932346862536,587727180622332041,0.311952,58.30851,-5.103868,9.357127,9.299304,9.450084,-0.26273313,-0.346927,-0.11658096,-0.23175398,0.0,-3.338524216051513,1,8.6765995,8.65121,8.704652000000001,8.677931,0.13389187,12897,71.82309348111991
6674,12901,103297,0.03242041,9.1902075e-06,104.984406,1.8519112,28.594162,1.8518736,0.5648474,0.007939819706763359,587727178475634852,0.3020849,60.383347,-6.362133,9.356543,9.291252,9.446744,-0.4223988,-0.71588224,-0.118181825,-0.41703203,0.0,-4.782899243340255,1,8.695061,8.647364999999999,8.766630000000001,8.706997,0.11534159,12901,72.41712982903265
6675,12902,103299,0.040812895,9.154766e-06,60.335625,2.1660774,17.20169,1.6422310000000002,0.5450027,0.012628890900026885,587724240160882963,0.2617213,60.094948,-6.6243753,9.591235,9.530472,9.675836,0.041909546,-0.31737268,0.38107345,0.031850383,0.0,-5.0718252063219165,1,8.409141,8.281761,8.5194025,8.400580999999999,0.11754609,12902,74.82777746000504
6676,12903,103311,0.05741672,5.8223054e-06,659.39716,5.4785113,111.14328,3.288979,0.7732639,0.0022499571729884984,587724240697753687,0.6956535,60.10841800000001,-6.267993,9.988247,9.86734,10.13244,0.64959687,0.5272312,0.78748107,0.65735614,2.0,-3.3462794426407294,1,9.104604,9.088813,9.115698,9.102255,0.14802215,12903,45.92068438721898
6680,12910,103410,0.03665989,9.844843e-06,85.11513000000002,1.4497638000000002,23.490568,1.3973768,0.5591132,0.007416550156591676,587727179548918001,0.3515351,59.17253,-5.7835007,9.094943,9.035451,9.157846,-0.4483817,-1.0195312,-0.13560218,-0.57756674,0.0,-5.0625719085055785,1,8.572159,8.499435,8.617083000000001,8.558259,0.09732096,12910,69.41876253439966
6681,12911,103427,0.03637412,1.2646117999999997e-05,126.332214,2.2051253,34.989803,1.8764046000000003,0.5575726,0.006783641892750297,587724241234100349,0.1877225,58.7558,-6.066413,9.708542,9.637268,9.800029,-0.16530344,-0.43708122,0.11573026,-0.16067548,0.0,-4.627982751701821,1,8.928135000000003,8.87458,8.970469,8.922525,0.087743595,12911,79.18009835481956
6683,12914,103536,0.03692059,8.5852735e-06,267.60364,3.199643,61.83568199999999,2.495616,0.6362529,0.004224141195737831,587727180085657784,0.33276209999999995,58.886726,-5.367956,9.610339,9.518738,9.703892,-0.57260936,-0.7498708000000001,-0.39098948,-0.57043016,0.0,-3.961736558527668,1,8.902608,8.837296,8.919986999999997,8.878641,0.109424934,12914,70.56349027187301
6685,12918,103653,0.036751468,4.9317723e-06,619.0491,4.033893,152.90295,2.4088347000000003,0.60730916,0.0018287771516569114,587724242308235423,0.8727975,59.58987800000001,-5.15629,9.073736,9.012395,9.162528,-0.42249644,-0.5426513000000001,-0.24840185,-0.3955266,0.0,-3.6738744736456286,1,8.586608,8.56206,8.60796,8.585011,0.107770756,12918,29.214627407370045
6687,12921,103675,0.040400192,7.1420823e-06,255.05568,2.7749417000000003,53.47501,1.7785558,0.67848414,0.003186336120316873,587727180623052896,0.5631225999999999,60.037334,-4.876996,9.800774,9.678123,9.921965,-0.59924805,-0.7551401999999999,-0.43054706,-0.59284365,0.0,-3.7502971434707235,1,8.966733999999997,8.924802,8.977134,8.950968,0.09157452,12921,55.727977388644845
6688,12922,103690,0.055449754,5.166816e-06,1281.6223,6.8993134000000005,299.60742,3.0038183,0.6312075,0.0011553324327758705,587727179549376686,0.1735473,60.326374,-5.6737847000000015,9.715387,9.610633,9.865673,0.15812756,0.06017455,0.3182725,0.18922353,0.0,-3.374360685635956,1,8.949121,8.941724,8.956519,8.949121,0.104529716,12922,80.00586897529804
6689,12923,103703,0.037870042,7.418808e-06,854.48285,5.656102,219.83086,3.1343746,0.5896147,0.0017563630017832918,587724242308628645,0.5295361,60.41740400000001,-5.026685,9.9498205,9.858527,10.082346,0.24369472,0.06202941,0.5356785,0.29885396,0.0,-4.304434707645344,1,9.069942,9.063103,9.076781,9.069942,0.11467993,12923,58.025883668714314
