,Unnamed: 0,Z,Z err,H alpha flux,H alpha flux error,H beta flux,H beta flux error,BDec,BDec Err,objid,expAB_r,RA,DEC,StarMass,StarMass P16,StarMass P84,SFR,SFR P16,SFR P84,SFR err,SFR FLAG,SFR ENTROPY,GALAXY CLASS,12+LOG OH,12+LOG OH P16,12+LOG OH P84,12+LOG OH err,EB-V,NUMID,Inclination
12434,99531,0.042014442,7.925529e-06,274.44507000000004,3.2049022000000003,67.12674,2.233406,0.6115599,0.0037456148310093733,587724240688382063,0.4570301,38.61957,-8.799275999999999,9.704212,9.631765,9.79993,-0.085096,-0.29753596,0.18905494,-0.05424051,0.0,-4.394312258175103,1,8.869872,8.853544,8.88209,8.867817,0.032515176,12434,62.804369301227815
12435,99533,0.043541472000000005,7.611833e-06,784.17017,6.227372,190.6893,3.055716,0.61408395,0.0018887524410555845,587724240688382011,0.27659090000000003,38.65272,-8.785375,10.199719,10.10898,10.338103,0.5658576999999999,0.31357628,0.9584035,0.6359899,0.0,-4.747024926043216,1,9.129978999999999,9.123164,9.136794,9.129978999999999,0.03295572,12435,73.94315612614436
12436,99542,0.043579858,1.5839954e-05,106.04988,2.0505364,31.626694,1.9457103,0.52545637,0.008352327636643769,587727178466066566,0.9135815,38.472958,-9.042885,9.723233,9.64304,9.820112,-0.16159032,-0.44629613,0.1441861,-0.15105501,0.0,-4.72702391667549,1,8.954672,8.891156,9.000569,8.945863000000001,0.029661445,12436,23.994922315098638
12437,99549,0.037591945,7.065605e-06,341.10193,3.7050402,88.148155,2.43432,0.5876709,0.003330521923401713,587724240688250999,0.2884048,38.30473,-8.953536999999999,9.232432000000001,9.157935,9.339586,-0.34009647,-0.53504133,-0.06293082,-0.29898608,0.0,-4.317396149571364,1,8.740322,8.716499,8.7977705,8.757135,0.02710845,12437,73.23752219629101
12438,99561,0.04440284,8.592333e-06,318.6733,3.5868459,88.9702,2.6982798999999997,0.5541010999999999,0.003922351270030643,587727178465869851,0.8695584999999999,38.056694,-9.056609,9.439707,9.33642,9.607344,-0.08232612,-0.35172406,0.32407406,-0.013824999,0.0,-4.760590573051449,1,8.670686,8.629242999999999,8.6932955,8.661269,0.030297585,12438,29.592625177185873
12439,99569,0.031788945,8.274957e-06,215.56453,2.6911378,54.33605,2.0721045,0.5984891999999999,0.0043926403617511045,587727178465935450,0.1826144,38.11052,-9.202081,9.197767,9.072132,9.352866,0.027707113,-0.48536579999999996,0.60450435,0.05956927,0.0,-5.3038367810802844,1,8.791931,8.776921000000002,8.811355,8.794138,0.02914026,12439,79.47792160930199
12440,99586,0.027888091,1.3078801e-05,160.50246,2.5848925,39.53092,2.1726123999999998,0.6085448,0.0061259490981727316,587727180613615704,0.8623523999999999,38.381904999999996,-7.344098,10.001797999999999,9.915716,10.094896,-0.32142836,-0.6607383000000001,0.017518267,-0.32161,0.0,-4.983102200991073,1,8.930278999999999,8.87502,8.956242,8.91563,0.03209703,12440,30.418254783625375
12442,99597,0.058177485999999994,1.7260736e-05,5.6337714000000005,1.4679276,-2.059103,1.7150615000000002,,-0.1385282630728792,587724241761796266,0.5586621,37.82117,-8.05713,10.374386,10.279847,10.4651575,-1.4353383999999998,-2.253205,-0.8252292,-1.5392171000000001,0.0,-5.864825797201401,-1,-99.9,-99.9,-99.9,-99.9,0.03858547,12442,56.03667654813927
12447,99615,0.0050979946,1.868314e-05,24.093653,1.8172491000000002,8.462703,1.8719231,0.45439357,0.03564956384862802,587724242836062221,0.5291640999999999,38.886208,-7.1544247,9.317242,9.224746000000001,9.412714,-2.3405107999999997,-2.9834907000000004,-1.6942106,-2.3388507,0.0,-5.689176663496117,5,-99.9,-99.9,-99.9,-99.9,0.027679618,12447,58.05100618500693
12448,99619,0.05311407,1.3390214000000001e-05,68.31049,1.8123432000000002,16.341043,1.5143719999999998,0.6212076,0.010014632348805015,587724242299191393,0.3426189,38.97708,-7.505604700000001,9.88728,9.809951,9.977409,-0.09182377,-0.44891873,0.27294526,-0.08798674,0.0,-5.077163235832909,1,8.721286,8.668645,8.777677,8.723161,0.02568673,12448,69.96348783531957
12450,99624,0.04218327,3.5857512999999996e-05,18.842728,1.5219966999999999,7.8535699999999995,1.7528225,0.38007668,0.04296408588688062,587724241762255145,0.6565329000000001,38.798164,-8.094782,9.420278999999999,9.3265,9.518613,-0.7682926,-1.3016393,-0.36357614,-0.83260775,0.0,-5.319376066780931,2,-99.9,-99.9,-99.9,-99.9,0.0349736,12450,48.964014999881584
12452,99633,0.052762907000000005,1.2005695e-05,44.262043,3.7647202000000006,13.396051000000002,2.9180303,0.51905465,0.030736676582584964,587727180613943406,0.5185292,39.28792,-7.4115977,10.575574000000001,10.465905000000001,10.692708999999999,-0.5974819,-1.4961538,0.03884625,-0.7286538,0.0,-6.028784072948482,5,-99.9,-99.9,-99.9,-99.9,0.02566588,12452,58.76635524343217
12453,99646,0.03137432,9.382045e-06,610.5859,5.5567107,154.47617,3.2140334,0.59688526,0.0024951834294068003,587727180077006876,0.4316686,39.048744,-7.734000999999999,9.253759,9.165263000000001,9.358755,-0.54868233,-0.65300214,-0.42163459999999997,-0.53731835,0.0,-3.322807906178743,1,9.109525999999999,9.101913,9.117138,9.109525999999999,0.031318206,12453,64.42649961945848
